Price,Review,Date,Rating,Rating_Value,URL
40.,"This would be a nice maternity dress for church or working somewhere that required buisness attire. It’s somewhat formal, but more of a business casual look (in my opinion). The material is very nice and the fit is great. We just started TTC and I’m currently 155 lbs at 5’6”.I ordered the medium and have plenty of room to grow into this in the belly area, although it also still looks great pre-pregnancy as it has the tie-able ribbon around the waist. It falls just below my knees, but with a small slit on the side.Overall a great dress, but I’m not sure it’s my style. You also can’t breastfeed in this, so they weren’t taking that into account. I like to purchase clothing that I can continue to wear after having the baby too, but I’m still happy to have this for special occasions","Reviewed in the United States on March 20, 2023",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
40.,"This is overall a very nice maternity dress.  It's simple and classy, and looks like the kind of dress you'd wear whether you were pregnant or not.  The blue is great, and it's comfortable cotton and easy to care for.  The fit is very nice, except the tummy area.  It's forgiving, but almost more like a regular quite loose dress would be forgiving.  I think it would work well until about the last trimester, when it would look like a regular but loose fitting dress being worn in place of a maternity dress.  And that's fine---maybe you want something for earlier in the pregnancy---but in the balance of looking not classically maternity style with fitting maternity style, it goes a little to the not looking maternity style side!","Reviewed in the United States on April 8, 2023",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Womens-Short-Sleeve-Uniform/dp/B0B6CX3RKT/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,This tee is for my daughter. Super cute and easy to add jeans or shorts. Definitely worth the price. Being that it’s GAP. Washes well too. SIZE 8,"Reviewed in the United States on July 22, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Shirt is cute and my granddaughter loves it. Fits her perfectly.,"Reviewed in the United States on August 2, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Exact size. Perfect fit,"Reviewed in the United States on October 20, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"This shirt was very small for the size I ordered. Fortunately, although it did not fit the intended granddaughter, it did fit her younger sister. Really cute!","Reviewed in the United States on October 24, 2023",4.0 out of 5 stars,4.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,I bought one for each granddaughter. They loved the light colored ones with flowers but not the red. It's hard to know about nearly teenagers.,"Reviewed in the United States on June 1, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,Cute shirt and colors but runs small. Ordered large for my daughter who wears 10/12 tops but it fits like a medium 7/8. Order 1 to 2 sizes up as this is more of a fitted shirt anyway.,"Reviewed in the United States on October 13, 2023",3.0 out of 5 stars,3.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,"Gave as gift too late to return ... embarrassing as can be. Helen Keller & Stevie Wonder would've  caught this issue. Anyways, wish I could have got a pic b4 tossed out but cam wouldn't connect? So shirt look OK until unfolded then I saw several small 4 or 5 small holes all in mid section. It was faded in same mid section area almost like it had been bleached & fabric weakened b4 dye process? It was also VERY small and I know GAP, 100% cotton.shrinks a ton as expected so SIZE UP! if u want extra wiggle room.","Reviewed in the United States on September 13, 2023",1.0 out of 5 stars,1.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
25.,el color es muy lindo,"Reviewed in the United States on September 18, 2023",5.0 out of 5 stars,5.0,https://www.amazon.com/GAP-Girls-Sleeve-T-Shirt-Wednesday/dp/B09V8CC9NB/ref=cm_cr_arp_d_product_top?ie=UTF8&th=1&psc=1
